,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
227,Shot Chart Detail,0021900242,559,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,5,15,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,13,1,0,20191125,IND,MEM
228,Shot Chart Detail,0021900242,581,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,3,18,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,15,1,0,20191125,IND,MEM
229,Shot Chart Detail,0021900260,230,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,8,39,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,128,221,1,0,20191127,MEM,LAC
230,Shot Chart Detail,0021900260,404,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,9,45,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,16,1,0,20191127,MEM,LAC
231,Shot Chart Detail,0021900260,411,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,9,15,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,0,59,1,0,20191127,MEM,LAC
232,Shot Chart Detail,0021900260,415,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,9,9,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20191127,MEM,LAC
233,Shot Chart Detail,0021900260,426,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,7,53,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,12,1,0,20191127,MEM,LAC
234,Shot Chart Detail,0021900260,448,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,6,20,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,5,1,1,20191127,MEM,LAC
235,Shot Chart Detail,0021900260,458,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,5,57,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,10,1,1,20191127,MEM,LAC
236,Shot Chart Detail,0021900260,546,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,0,27,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-54,94,1,0,20191127,MEM,LAC
237,Shot Chart Detail,0021900260,576,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,10,55,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,8,1,1,20191127,MEM,LAC
238,Shot Chart Detail,0021900260,587,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,10,5,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,64,259,1,1,20191127,MEM,LAC
239,Shot Chart Detail,0021900260,593,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,9,32,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-9,29,1,0,20191127,MEM,LAC
240,Shot Chart Detail,0021900260,595,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,9,29,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20191127,MEM,LAC
241,Shot Chart Detail,0021900260,674,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,3,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,18,1,1,20191127,MEM,LAC
242,Shot Chart Detail,0021900260,686,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,3,35,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-39,110,1,0,20191127,MEM,LAC
243,Shot Chart Detail,0021900260,697,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,2,45,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-52,60,1,1,20191127,MEM,LAC
244,Shot Chart Detail,0021900260,712,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,1,14,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,2,1,0,20191127,MEM,LAC
245,Shot Chart Detail,0021900274,33,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,9,2,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-52,257,1,1,20191129,MEM,UTA
246,Shot Chart Detail,0021900274,37,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,8,29,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-7,120,1,0,20191129,MEM,UTA
247,Shot Chart Detail,0021900274,185,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,10,15,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,-1,1,0,20191129,MEM,UTA
248,Shot Chart Detail,0021900274,205,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,8,11,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-62,122,1,0,20191129,MEM,UTA
249,Shot Chart Detail,0021900274,224,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,7,5,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-41,79,1,1,20191129,MEM,UTA
250,Shot Chart Detail,0021900274,369,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,8,45,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,35,48,1,0,20191129,MEM,UTA
251,Shot Chart Detail,0021900274,384,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,7,33,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,63,262,1,0,20191129,MEM,UTA
252,Shot Chart Detail,0021900274,567,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,6,30,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,149,204,1,1,20191129,MEM,UTA
253,Shot Chart Detail,0021900274,575,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,5,50,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,13,1,0,20191129,MEM,UTA
254,Shot Chart Detail,0021900274,598,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,4,29,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,55,267,1,0,20191129,MEM,UTA
255,Shot Chart Detail,0021900274,610,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,2,53,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,3,1,0,20191129,MEM,UTA
256,Shot Chart Detail,0021900274,628,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,1,56,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,3,1,1,20191129,MEM,UTA
257,Shot Chart Detail,0021900274,631,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,1,19,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,36,170,319,1,0,20191129,MEM,UTA
258,Shot Chart Detail,0021900351,13,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,11,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-196,188,1,0,20191209,GSW,MEM
259,Shot Chart Detail,0021900351,43,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,8,50,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,0,74,1,0,20191209,GSW,MEM
260,Shot Chart Detail,0021900351,79,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,6,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,169,220,1,1,20191209,GSW,MEM
261,Shot Chart Detail,0021900351,232,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,7,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-43,269,1,1,20191209,GSW,MEM
262,Shot Chart Detail,0021900351,347,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,1,11,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-22,115,1,0,20191209,GSW,MEM
263,Shot Chart Detail,0021900351,359,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,0,6,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,3,42,1,0,20191209,GSW,MEM
264,Shot Chart Detail,0021900351,425,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,7,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-4,260,1,1,20191209,GSW,MEM
265,Shot Chart Detail,0021900351,438,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,6,28,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,29,1,0,20191209,GSW,MEM
266,Shot Chart Detail,0021900351,544,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,10,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,217,127,1,0,20191209,GSW,MEM
267,Shot Chart Detail,0021900351,548,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,10,25,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-100,9,1,1,20191209,GSW,MEM
268,Shot Chart Detail,0021900351,569,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,8,45,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,68,26,1,1,20191209,GSW,MEM
269,Shot Chart Detail,0021900351,581,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,8,18,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,14,1,1,20191209,GSW,MEM
270,Shot Chart Detail,0021900351,648,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,2,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,133,169,1,1,20191209,GSW,MEM
271,Shot Chart Detail,0021900351,670,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,1,19,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,5,1,1,20191209,GSW,MEM
272,Shot Chart Detail,0021900363,14,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,10,52,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,105,133,1,0,20191211,PHX,MEM
273,Shot Chart Detail,0021900363,194,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,10,16,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,107,95,1,1,20191211,PHX,MEM
274,Shot Chart Detail,0021900363,213,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,8,33,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,135,215,1,0,20191211,PHX,MEM
275,Shot Chart Detail,0021900363,342,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,0,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,1,20191211,PHX,MEM
276,Shot Chart Detail,0021900363,430,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,6,40,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,8,3,1,0,20191211,PHX,MEM
277,Shot Chart Detail,0021900363,553,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,11,22,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,9,1,0,20191211,PHX,MEM
278,Shot Chart Detail,0021900363,629,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,5,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,13,1,1,20191211,PHX,MEM
279,Shot Chart Detail,0021900363,698,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,1,58,Missed Shot,Driving Layup Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,64,139,1,0,20191211,PHX,MEM
280,Shot Chart Detail,0021900363,695,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,0,43,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,6,1,1,20191211,PHX,MEM
281,Shot Chart Detail,0021900383,44,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,7,48,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,14,19,1,0,20191214,MEM,WAS
282,Shot Chart Detail,0021900383,168,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,0,45,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,57,116,1,0,20191214,MEM,WAS
283,Shot Chart Detail,0021900383,219,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,9,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-44,256,1,1,20191214,MEM,WAS
284,Shot Chart Detail,0021900383,243,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,7,42,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,34,83,1,1,20191214,MEM,WAS
285,Shot Chart Detail,0021900383,261,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,6,34,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,2,222,1,1,20191214,MEM,WAS
286,Shot Chart Detail,0021900383,381,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,11,9,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-54,43,1,0,20191214,MEM,WAS
287,Shot Chart Detail,0021900383,412,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,9,12,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-29,54,1,0,20191214,MEM,WAS
288,Shot Chart Detail,0021900383,559,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,10,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,157,196,1,0,20191214,MEM,WAS
289,Shot Chart Detail,0021900383,576,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,9,33,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,11,1,1,20191214,MEM,WAS
290,Shot Chart Detail,0021900383,594,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,9,4,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,-14,1,0,20191214,MEM,WAS
291,Shot Chart Detail,0021900383,661,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,4,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-1,1,1,20191214,MEM,WAS
292,Shot Chart Detail,0021900397,19,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,10,20,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,30,1,1,20191216,MEM,MIA
293,Shot Chart Detail,0021900397,29,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,9,6,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,1,1,0,20191216,MEM,MIA
294,Shot Chart Detail,0021900397,54,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,7,4,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,3,103,1,1,20191216,MEM,MIA
295,Shot Chart Detail,0021900397,77,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,5,1,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-111,239,1,1,20191216,MEM,MIA
296,Shot Chart Detail,0021900397,321,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,0,15,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,100,110,1,0,20191216,MEM,MIA
297,Shot Chart Detail,0021900397,340,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,11,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,18,262,1,1,20191216,MEM,MIA
298,Shot Chart Detail,0021900397,346,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,10,12,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-35,100,1,1,20191216,MEM,MIA
299,Shot Chart Detail,0021900397,413,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,4,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-28,12,1,1,20191216,MEM,MIA
300,Shot Chart Detail,0021900397,415,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,4,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-150,210,1,0,20191216,MEM,MIA
301,Shot Chart Detail,0021900397,419,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,3,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,2,1,1,20191216,MEM,MIA
302,Shot Chart Detail,0021900397,605,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,5,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,166,188,1,0,20191216,MEM,MIA
303,Shot Chart Detail,0021900397,610,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,4,41,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,-4,1,1,20191216,MEM,MIA
304,Shot Chart Detail,0021900397,638,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,2,31,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,1,20191216,MEM,MIA
305,Shot Chart Detail,0021900397,652,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,1,32,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,60,28,1,0,20191216,MEM,MIA
306,Shot Chart Detail,0021900412,7,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,11,39,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-70,55,1,0,20191218,OKC,MEM
307,Shot Chart Detail,0021900412,43,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,8,11,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-60,80,1,1,20191218,OKC,MEM
308,Shot Chart Detail,0021900412,175,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,10,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,65,261,1,1,20191218,OKC,MEM
309,Shot Chart Detail,0021900412,196,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,8,50,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-22,41,1,1,20191218,OKC,MEM
310,Shot Chart Detail,0021900412,210,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,7,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,101,194,1,1,20191218,OKC,MEM
311,Shot Chart Detail,0021900412,237,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,6,2,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,57,35,1,1,20191218,OKC,MEM
312,Shot Chart Detail,0021900412,241,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,5,46,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,0,1,1,20191218,OKC,MEM
313,Shot Chart Detail,0021900412,301,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,1,4,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,30,69,1,0,20191218,OKC,MEM
314,Shot Chart Detail,0021900412,331,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,11,29,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,22,1,1,20191218,OKC,MEM
315,Shot Chart Detail,0021900412,341,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,10,45,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-20,146,1,1,20191218,OKC,MEM
316,Shot Chart Detail,0021900412,374,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,7,38,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-39,94,1,1,20191218,OKC,MEM
317,Shot Chart Detail,0021900412,399,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,6,5,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-3,147,1,0,20191218,OKC,MEM
318,Shot Chart Detail,0021900412,405,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,5,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,165,157,1,0,20191218,OKC,MEM
319,Shot Chart Detail,0021900412,598,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,4,38,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,26,1,0,20191218,OKC,MEM
320,Shot Chart Detail,0021900412,643,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,0,36,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-54,55,1,0,20191218,OKC,MEM
321,Shot Chart Detail,0021900412,650,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,0,17,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,0,67,1,0,20191218,OKC,MEM
322,Shot Chart Detail,0021900420,38,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,8,41,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-40,47,1,1,20191220,CLE,MEM
323,Shot Chart Detail,0021900420,46,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,7,53,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,15,1,0,20191220,CLE,MEM
324,Shot Chart Detail,0021900420,61,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,6,47,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,13,1,0,20191220,CLE,MEM
325,Shot Chart Detail,0021900420,167,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,10,52,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,18,1,0,20191220,CLE,MEM
326,Shot Chart Detail,0021900420,185,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,9,34,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,6,1,0,20191220,CLE,MEM
327,Shot Chart Detail,0021900420,310,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,61,-169,587,1,0,20191220,CLE,MEM
328,Shot Chart Detail,0021900420,325,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,11,31,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,125,50,1,1,20191220,CLE,MEM
329,Shot Chart Detail,0021900420,380,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,7,2,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,17,1,0,20191220,CLE,MEM
330,Shot Chart Detail,0021900420,556,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,7,6,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-37,46,1,1,20191220,CLE,MEM
331,Shot Chart Detail,0021900420,589,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,4,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-165,188,1,0,20191220,CLE,MEM
332,Shot Chart Detail,0021900420,632,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,1,25,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,13,34,1,1,20191220,CLE,MEM
333,Shot Chart Detail,0021900435,40,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,8,51,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-133,222,1,0,20191221,MEM,SAC
334,Shot Chart Detail,0021900435,62,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,7,2,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,6,1,0,20191221,MEM,SAC
335,Shot Chart Detail,0021900435,190,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,10,26,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-1,1,1,20191221,MEM,SAC
336,Shot Chart Detail,0021900435,199,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,9,26,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,14,1,0,20191221,MEM,SAC
