,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
20,22017,1628379,0021700901,"FEB 26, 2018",DET @ TOR,L,16,0,4,0.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,3,0,-12,1
21,22017,1628379,0021700892,"FEB 25, 2018",DET @ CHA,L,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,14,1
22,22017,1628379,0021700873,"FEB 23, 2018",DET vs. BOS,L,17,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,1,1,0,0,1,2,-12,1
23,22017,1628379,0021700853,"FEB 14, 2018",DET vs. ATL,W,18,2,7,0.286,1,4,0.25,0,0,0.0,0,2,2,0,0,0,1,0,5,-15,1
24,22017,1628379,0021700841,"FEB 12, 2018",DET vs. NOP,L,12,2,2,1.0,1,1,1.0,0,0,0.0,1,2,3,3,1,0,1,0,5,-4,1
25,22017,1628379,0021700834,"FEB 11, 2018",DET @ ATL,L,19,2,5,0.4,1,3,0.333,0,0,0.0,0,2,2,2,0,0,1,1,5,11,1
26,22017,1628379,0021700817,"FEB 09, 2018",DET vs. LAC,L,24,2,7,0.286,1,2,0.5,1,1,1.0,1,0,1,5,1,0,1,2,6,-15,1
27,22017,1628379,0021700805,"FEB 07, 2018",DET vs. BKN,W,23,4,6,0.667,0,2,0.0,0,0,0.0,0,1,1,2,1,0,0,1,8,7,1
28,22017,1628379,0021700790,"FEB 05, 2018",DET vs. POR,W,24,5,7,0.714,1,2,0.5,1,2,0.5,0,2,2,4,0,0,1,1,12,11,1
29,22017,1628379,0021700761,"FEB 01, 2018",DET vs. MEM,W,21,1,3,0.333,0,1,0.0,2,3,0.667,0,1,1,2,1,1,1,1,4,-13,1
30,22017,1628379,0021700747,"JAN 30, 2018",DET vs. CLE,W,22,2,5,0.4,0,1,0.0,0,0,0.0,1,3,4,1,0,0,1,3,4,0,1
31,22017,1628379,0021700734,"JAN 28, 2018",DET @ CLE,L,19,1,7,0.143,0,2,0.0,0,0,0.0,0,4,4,2,0,0,0,0,2,-4,1
32,22017,1628379,0021700724,"JAN 27, 2018",DET vs. OKC,L,25,3,10,0.3,3,5,0.6,2,2,1.0,0,1,1,0,0,0,1,1,11,13,1
33,22017,1628379,0021700702,"JAN 24, 2018",DET vs. UTA,L,26,3,9,0.333,1,5,0.2,3,3,1.0,3,7,10,4,0,0,3,0,10,7,1
34,22017,1628379,0021700685,"JAN 21, 2018",DET vs. BKN,L,22,5,9,0.556,3,6,0.5,0,0,0.0,0,0,0,1,0,1,1,2,13,5,2
35,22017,1628379,0021700669,"JAN 19, 2018",DET vs. WAS,L,22,4,7,0.571,3,5,0.6,5,5,1.0,0,1,1,2,0,0,0,3,16,-7,1
36,22017,1628379,0021700638,"JAN 15, 2018",DET vs. CHA,L,25,2,5,0.4,0,1,0.0,1,1,1.0,0,4,4,1,0,0,2,2,5,5,1
37,22017,1628379,0021700632,"JAN 13, 2018",DET @ CHI,L,23,4,8,0.5,1,4,0.25,0,0,0.0,1,3,4,3,1,1,1,0,9,1,1
38,22017,1628379,0021700606,"JAN 10, 2018",DET @ BKN,W,18,5,9,0.556,2,3,0.667,1,1,1.0,1,5,6,0,1,0,3,0,13,16,1
39,22017,1628379,0021700595,"JAN 08, 2018",DET @ NOP,L,12,2,4,0.5,0,0,0.0,2,2,1.0,0,2,2,0,1,0,0,1,6,1,1
40,22017,1628379,0021700580,"JAN 06, 2018",DET vs. HOU,W,24,0,2,0.0,0,1,0.0,0,0,0.0,0,5,5,3,2,0,1,1,0,10,1
41,22017,1628379,0021700569,"JAN 05, 2018",DET @ PHI,L,20,1,3,0.333,1,1,1.0,0,0,0.0,0,3,3,0,1,0,0,2,3,-21,1
42,22017,1628379,0021700558,"JAN 03, 2018",DET @ MIA,L,24,6,7,0.857,0,1,0.0,1,1,1.0,0,1,1,2,1,0,0,0,13,4,1
43,22017,1628379,0021700530,"DEC 30, 2017",DET vs. SAS,W,30,7,12,0.583,4,5,0.8,2,2,1.0,0,1,1,1,3,0,0,1,20,19,1
44,22017,1628379,0021700516,"DEC 28, 2017",DET @ ORL,L,20,3,8,0.375,2,4,0.5,0,0,0.0,0,2,2,0,0,0,4,2,8,-22,1
45,22017,1628379,0021700498,"DEC 26, 2017",DET vs. IND,W,12,2,3,0.667,2,2,1.0,0,0,0.0,0,2,2,0,0,0,0,1,6,22,1
46,22017,1628379,0021700471,"DEC 22, 2017",DET vs. NYK,W,18,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,10,1
47,22017,1628379,0021700461,"DEC 20, 2017",DET @ DAL,L,17,2,4,0.5,1,2,0.5,0,0,0.0,0,1,1,1,1,1,0,0,5,3,1
48,22017,1628379,0021700438,"DEC 17, 2017",DET vs. ORL,W,15,1,5,0.2,1,1,1.0,0,0,0.0,0,1,1,2,1,1,0,1,3,-4,1
49,22017,1628379,0021700419,"DEC 15, 2017",DET @ IND,W,18,4,6,0.667,1,1,1.0,0,0,0.0,2,3,5,4,0,1,0,0,9,18,1
50,22017,1628379,0021700413,"DEC 14, 2017",DET @ ATL,W,19,1,8,0.125,0,4,0.0,2,2,1.0,2,1,3,2,2,1,2,2,4,7,1
51,22017,1628379,0021700398,"DEC 12, 2017",DET vs. DEN,L,13,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,3,-2,1
52,22017,1628379,0021700386,"DEC 10, 2017",DET vs. BOS,L,24,3,8,0.375,1,5,0.2,0,0,0.0,0,2,2,0,1,0,1,1,7,5,1
53,22017,1628379,0021700368,"DEC 08, 2017",DET vs. GSW,L,15,2,4,0.5,0,1,0.0,0,0,0.0,1,2,3,1,0,0,0,1,4,1,1
54,22017,1628379,0021700359,"DEC 06, 2017",DET @ MIL,L,18,2,7,0.286,1,3,0.333,1,2,0.5,0,0,0,2,0,0,1,0,6,-16,1
55,22017,1628379,0021700348,"DEC 04, 2017",DET @ SAS,L,8,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,3,-6,1
56,22017,1628379,0021700330,"DEC 02, 2017",DET @ PHI,L,21,3,6,0.5,1,2,0.5,2,2,1.0,0,1,1,2,1,0,2,1,9,-5,1
57,22017,1628379,0021700320,"DEC 01, 2017",DET @ WAS,L,18,3,5,0.6,2,4,0.5,2,2,1.0,0,0,0,0,0,0,1,1,10,-3,1
58,22017,1628379,0021700303,"NOV 29, 2017",DET vs. PHX,W,26,4,8,0.5,2,2,1.0,2,2,1.0,0,2,2,6,2,0,2,3,12,3,1
59,22017,1628379,0021700292,"NOV 27, 2017",DET @ BOS,W,17,3,8,0.375,1,4,0.25,0,0,0.0,0,1,1,0,0,0,1,0,7,3,1
60,22017,1628379,0021700273,"NOV 24, 2017",DET @ OKC,W,15,1,5,0.2,1,3,0.333,0,0,0.0,0,1,1,2,1,0,0,1,3,7,2
61,22017,1628379,0021700242,"NOV 20, 2017",DET vs. CLE,L,17,2,8,0.25,1,3,0.333,0,0,0.0,0,3,3,0,1,0,1,1,5,5,1
62,22017,1628379,0021700238,"NOV 19, 2017",DET @ MIN,W,10,0,1,0.0,0,0,0.0,2,2,1.0,0,1,1,0,1,0,2,0,2,4,1
63,22017,1628379,0021700217,"NOV 17, 2017",DET @ IND,L,25,5,8,0.625,3,4,0.75,0,0,0.0,1,2,3,0,2,0,2,2,13,0,1
64,22017,1628379,0021700209,"NOV 15, 2017",DET @ MIL,L,13,4,7,0.571,3,4,0.75,0,0,0.0,0,2,2,0,1,0,0,1,11,6,1
65,22017,1628379,0021700189,"NOV 12, 2017",DET vs. MIA,W,28,6,11,0.545,2,5,0.4,0,1,0.0,0,5,5,3,0,1,2,2,14,21,1
66,22017,1628379,0021700169,"NOV 10, 2017",DET vs. ATL,W,17,1,4,0.25,0,2,0.0,0,0,0.0,0,2,2,2,1,0,1,0,2,5,1
67,22017,1628379,0021700159,"NOV 08, 2017",DET vs. IND,W,12,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-2,1
68,22017,1628379,0021700132,"NOV 04, 2017",DET vs. SAC,W,10,1,4,0.25,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,2,2,1
69,22017,1628379,0021700056,"OCT 25, 2017",DET vs. MIN,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,3,1
70,22017,1628379,0021700041,"OCT 23, 2017",DET vs. PHI,L,17,2,6,0.333,0,1,0.0,2,4,0.5,0,3,3,1,0,0,1,2,6,-4,1
71,22017,1628379,0021700030,"OCT 21, 2017",DET @ NYK,W,17,1,4,0.25,0,2,0.0,0,0,0.0,1,2,3,0,0,0,2,1,2,-3,1
72,22017,1628379,0021700020,"OCT 20, 2017",DET @ WAS,L,19,5,8,0.625,1,4,0.25,0,0,0.0,0,0,0,2,2,0,2,1,11,0,1
